objectid,stopid,main_street,cross_street,direction,benches,lat,lon
318,1650,ARAGON AV,SALZEDO ST,W,1,25.750414,-80.2606
319,1651,SW 24 ST,N GREENWAY DR,E,0,25.748516,-80.283775
320,1652,SW 24 ST,MADRID ST,E,0,25.748523,-80.281999
321,1653,SW 24 ST,COLUMBUS BD,E,0,25.748635,-80.279455
322,1654,SW 24 ST,CORDOVA ST,E,0,25.748678,-80.277209
323,1655,SW 24 ST,GRANADA BD,E,1,25.74876,-80.275333
324,1656,SW 24 ST,TOLEDO ST,E,0,25.748805,-80.272979
325,1657,SW 24 ST,ANDERSON RD,E,1,25.748903,-80.27028
326,1658,SW 24 ST,SEGOVIA ST,E,1,25.74915,-80.267011
327,1752,NW 79 AV,NW 52 ST,N,0,25.820363,-80.325513
328,1753,NW 79 AV,NW 53 ST,N,0,25.822175,-80.325558
329,1754,NW 79 AV,NW 55 ST,N,0,25.82391,-80.325608
330,1758,NW 79 AV,NW 56 ST,S,0,25.823765,-80.325797
331,1759,NW 79 AV,NW 53 ST,S,0,25.822078,-80.325755
332,1760,NW 79 AV,NW 50 ST,S,0,25.818712,-80.325643
333,1761,NW 79 AV,NW 48 ST,S,1,25.816716,-80.325592
334,1762,NW 79 AV,# 4400,S,1,25.814101,-80.32552
335,1763,NW 79 AV,NW 41 ST,S,1,25.811952,-80.325454
336,1764,NW 79 AV,NW 36 ST,S,2,25.809584,-80.325393
337,10272,NW 82 AV,NW 56 ST,N,0,25.824547,-80.329682
338,10273,NW 82 AV,NW 56 ST,S,0,25.824553,-80.329814
339,1775,NW 87 AV,NW 17 ST,N,0,25.790676,-80.336678
340,1776,NW 87 AV,NW 25 ST,N,0,25.797596,-80.336876
341,9862,NW 87 AV,NW 29 ST,N,0,25.800976,-80.336991
342,1777,NW 87 AV,NW 30 TE,N,1,25.801727,-80.337006
343,1778,NW 87 AV,# 3271,N,0,25.805009,-80.337106
344,1779,NW 87 AV,NW 33 ST,N,0,25.806821,-80.337122
345,1780,NW 87 AV,# 3737,N,0,25.808504,-80.337193
346,1781,NW 87 AV,NW 41 ST,N,0,25.811393,-80.337285
347,1782,NW 87 AV,NW 52 ST,N,0,25.818173,-80.337496
348,1783,NW 87 AV,NW 53 ST,S,0,25.818912,-80.337742
349,1784,NW 87 AV,NW 41 ST,S,0,25.812319,-80.337578
350,1785,NW 87 AV,NW 36 ST,S,0,25.809471,-80.337508
351,1786,NW 87 AV,OP # 3655,S,0,25.80749,-80.337436
352,1787,NW 87 AV,NW 33 ST,S,0,25.804873,-80.337368
